Name;Alternativname;Höhe;SAC-Sektion;Schlafplätze;Schutzraum;Ein­wei­hung;Kanton;Kommentar;Typ;Extrainfos
Diableretshütte;Cabane des Diablerets;2486;Jaman;32;0;1952;Waadt;;SAC-Hütte;"{{Coordinate|NS=46.33872|EW=7.21542|type=mountain|sortkey=NS|elevation=2485|region=CH-VD|text=ICON2|name=Cabane des Diablerets}}&nbsp;&#124;&nbsp;"
Dixhütte;Cabane des Dix;2928;Monte Rosa;115;16;1936;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.01108|EW=7.41775|type=mountain|sortkey=NS|elevation=2928|region=CH-VS|text=ICON2|name=Cabane des Dix}}&nbsp;&#124;&nbsp;"
Doldenhornhütte;;1915;Emmental;40;10;1899;Bern;;SAC-Hütte;"{{Coordinate|NS=46.486891|EW=7.697416|type=mountain|sortkey=NS|elevation=1915|region=CH-BE|text=ICON2|name=Doldenhornhütte}}&nbsp;&#124;&nbsp;"
Dolent La Maye Biwak;Bivouac du Dolent-La Maye;2667;La Gruyère;12;12;1973;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.92731|EW=7.06895|type=mountain|sortkey=NS|elevation=2667|region=CH-VS|text=ICON2|name=Bivouac du Dolent La Maye}}&nbsp;&#124;&nbsp;"
Domhütte;;2940;Uto;75;9;1890;Wallis;;SAC-Hütte;"{{Coordinate|NS=46/06/10|EW=7/49/04|type=mountain|sortkey=NS|elevation=2940|region=CH-VS|text=ICON2|name=Domhütte}}&nbsp;&#124;&nbsp;"
Dossenhütte;;2663;Oberaargau;51;0;1899;Bern;;SAC-Hütte;"{{Coordinate|NS=46/39/18.4|EW=8/10/10.6|type=mountain|sortkey=NS|elevation=2663|region=CH-BE|text=ICON2|name=Dossenhütte}}&nbsp;&#124;&nbsp;"
Ela-Hütte;Chamonas d'Ela;2252;Davos;34;34;1911;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.61875|EW=9.69190|type=mountain|sortkey=NS|elevation=2252|region=CH-GR|text=ICON2|name=Ela-Hütte}}&nbsp;&#124;&nbsp;"
Enderlinhütte;;1501;Piz Sol;34;17;1956;Graubünden;;SAC-Hütte;"{{Coordinate|NS=47.03883|EW=9.55146|type=mountain|sortkey=NS|elevation=1501|region=CH-GR|text=ICON2|name=Enderlinhütte}}&nbsp;&#124;&nbsp;"
Es-cha-Hütte;Chamanna d'Es-cha;2594;Bernina;50;12;1934;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/36/41|EW=9/54/10.4|type=mountain|sortkey=NS|elevation=2594|region=CH-GR|text=ICON2|name=Es-cha-Hütte}}&nbsp;&#124;&nbsp;"
Etzlihütte;;2052;Thurgau;75;4;1911;Uri;;SAC-Hütte;"{{Coordinate|NS=46.71818|EW=8.72064|type=mountain|sortkey=NS|elevation=2052|region=CH-UR|text=ICON2|name=Etzlihütte}}&nbsp;&#124;&nbsp;"
Fergenhütte;;2141;Prättigau;21;21;1923;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.86898|EW=9.96471|type=mountain|sortkey=NS|elevation=2141|region=CH-GR|text=ICON2|name=Fergenhütte}}&nbsp;&#124;&nbsp;"
Finsteraarhornhütte;;3048;Oberhasli;116;10;2003;Bern;;SAC-Hütte;"{{Coordinate|NS=46/31/19|EW=8/06/52|type=mountain|sortkey=NS|elevation=3048|region=CH-BE|text=ICON2|name=Finsteraarhornhütte}}&nbsp;&#124;&nbsp;"
Fornohütte;Capanna del Forno;2574;Rorschach;75;6;1889;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.33178|EW=9.70941|type=mountain|sortkey=NS|elevation=2574|region=CH-GR|text=ICON2|name=Fornohütte}}&nbsp;&#124;&nbsp;"
Fridolinshütte;;2111;Tödi;55;20;1921;Glarus;;SAC-Hütte;"{{Coordinate|NS=46/49/17|EW=8/57/0|type=mountain|sortkey=NS|elevation=2111|region=CH-GL|text=ICON2|name=Fridolinshütte}}&nbsp;&#124;&nbsp;"
Fründenhütte;;2562;Altels;58;16;1936;Bern;;SAC-Hütte;"{{Coordinate|NS=46.48365|EW=7.74191|type=mountain|sortkey=NS|elevation=2562|region=CH-BE|text=ICON2|name=Fründenhütte}}&nbsp;&#124;&nbsp;"
Gaulihütte;;2205;Bern;65;21;1895;Bern;;SAC-Hütte;"{{Coordinate|NS=46/37/25.58|EW=8/12/59.84|type=mountain|sortkey=NS|elevation=2205|region=CH-BE|text=ICON2|name=Gaulihütte}}&nbsp;&#124;&nbsp;"
